iter	Passed	Remaining
617	1056	653
618	1058	651
619	1059	649
620	1060	647
621	1062	645
622	1063	643
623	1065	641
624	1066	640
625	1068	638
626	1069	636
627	1071	634
628	1072	632
629	1074	630
630	1075	628
631	1076	627
632	1078	625
633	1079	623
634	1081	621
635	1083	619
636	1084	618
637	1086	616
638	1087	614
639	1089	612
640	1090	610
641	1092	609
642	1093	607
643	1095	605
644	1096	603
645	1098	601
646	1099	599
647	1101	598
648	1102	596
649	1104	594
650	1105	592
651	1107	590
652	1108	589
653	1109	587
654	1111	585
655	1112	583
656	1114	581
657	1115	579
658	1117	578
659	1118	576
660	1120	574
661	1121	572
662	1123	570
663	1124	569
664	1125	567
665	1127	565
666	1128	563
667	1130	561
668	1131	559
669	1133	558
670	1134	556
671	1136	554
672	1137	552
673	1139	550
674	1140	549
675	1142	547
676	1143	545
677	1144	543
678	1146	541
679	1147	540
680	1149	538
681	1150	536
682	1152	534
683	1153	533
684	1155	531
685	1156	529
686	1158	527
687	1159	525
688	1161	524
689	1162	522
690	1164	520
691	1165	518
692	1167	517
693	1168	515
694	1170	513
695	1171	511
696	1172	509
697	1174	508
698	1175	506
699	1177	504
700	1178	502
701	1180	501
702	1181	499
703	1183	497
704	1184	495
705	1186	493
706	1187	492
707	1188	490
708	1190	488
709	1191	486
710	1193	485
711	1194	483
712	1196	481
713	1197	479
714	1199	478
715	1200	476
716	1202	474
717	1203	472
718	1205	470
719	1206	469
720	1208	467
721	1209	465
722	1211	464
723	1213	462
724	1214	460
725	1216	459
726	1217	457
727	1219	455
728	1220	453
729	1222	452
730	1223	450
731	1225	448
732	1226	446
733	1228	445
734	1229	443
735	1231	441
736	1232	439
737	1234	438
738	1235	436
739	1237	434
740	1238	432
741	1240	431
742	1241	429
743	1242	427
744	1244	425
745	1245	424
746	1247	422
747	1249	420
748	1250	419
749	1252	417
750	1253	415
751	1255	413
752	1256	412
753	1258	410
754	1259	408
755	1261	407
756	1262	405
757	1264	403
758	1265	401
759	1267	400
760	1268	398
761	1270	396
762	1271	394
763	1272	393
764	1274	391
765	1275	389
766	1277	388
767	1278	386
768	1280	384
769	1281	382
770	1283	381
771	1284	379
772	1286	377
773	1287	375
774	1289	374
775	1290	372
776	1292	370
777	1294	369
778	1296	367
779	1297	366
780	1299	364
781	1300	362
782	1302	360
783	1303	359
784	1305	357
785	1306	355
786	1308	354
787	1309	352
788	1311	350
789	1312	348
790	1314	347
791	1315	345
792	1317	343
793	1318	342
794	1319	340
795	1321	338
796	1322	336
797	1324	335
798	1326	333
799	1327	331
800	1329	330
801	1331	328
802	1333	327
803	1334	325
804	1336	323
805	1337	322
806	1339	320
807	1341	318
808	1343	317
809	1345	315
810	1347	313
811	1349	312
812	1350	310
813	1352	309
814	1353	307
815	1355	305
816	1356	303
817	1358	302
818	1359	300
819	1361	298
820	1362	297
821	1364	295
822	1365	293
823	1367	292
824	1368	290
825	1370	288
826	1371	286
827	1373	285
828	1374	283
829	1376	281
830	1377	280
831	1379	278
832	1380	276
833	1382	275
834	1383	273
835	1384	271
836	1386	269
837	1387	268
838	1389	266
839	1391	264
840	1392	263
841	1393	261
842	1395	259
843	1396	258
844	1398	256
845	1399	254
846	1401	253
847	1402	251
848	1404	249
849	1405	248
850	1407	246
851	1408	244
852	1410	243
853	1411	241
854	1413	239
855	1414	237
856	1416	236
857	1417	234
858	1419	232
859	1420	231
860	1421	229
861	1423	227
862	1424	226
863	1426	224
864	1427	222
865	1429	221
866	1430	219
867	1432	217
868	1433	216
869	1435	214
870	1436	212
871	1438	211
872	1439	209
873	1441	207
874	1442	206
875	1444	204
876	1445	202
877	1447	201
878	1448	199
879	1450	197
880	1451	196
881	1453	194
882	1454	192
883	1456	191
884	1457	189
885	1459	187
886	1460	186
887	1461	184
888	1463	182
889	1464	181
890	1466	179
891	1467	177
892	1469	176
893	1470	174
894	1472	172
895	1473	171
896	1475	169
897	1476	167
898	1478	166
899	1479	164
900	1481	162
901	1482	161
902	1484	159
903	1485	157
904	1486	156
905	1488	154
906	1489	152
907	1491	151
908	1492	149
